
Image Name                     PID Session Name        Session#    Mem Usage
MicrosoftEdge.exe             8928 Console                    6      6,296 K
browser_broker.exe           15996 Console                    6      6,136 K
dllhost.exe                  45256 Console                    6     10,760 K
RuntimeBroker.exe            46552 Console                    6      5,824 K
MicrosoftEdgeCP.exe          15380 Console                    6     18,532 K
MicrosoftEdgeSH.exe          18828 Console                    6      5,096 K
smartscreen.exe              12216 Console                    6     24,952 K
dllhost.exe                  23336 Console                    6      6,276 K
svchost.exe                   7672 Console                    6      5,692 K
SystemSettingsBroker.exe     17524 Console                    6     18,396 K
WindowsInternal.Composabl    27736 Console                    6     32,336 K
svchost.exe                  39068 Services                   0     20,780 K
Microsoft.Photos.exe         36948 Console                    6     59,612 K
RuntimeBroker.exe            35584 Console                    6     31,416 K
cmd.exe                      41560 Console                    6      4,040 K
conhost.exe                  36416 Console                    6     15,720 K
cmd.exe                      18160 Console                    6      3,244 K
conhost.exe                   9152 Console                    6     11,984 K
svchost.exe                  30060 Services                   0      5,008 K
svchost.exe                  21712 Services                   0      8,644 K
mozilla.exe                  27944 Console                    6     54,576 K
Video.UI.exe                 41368 Console                    6        232 K
RuntimeBroker.exe            29208 Console                    6      7,680 K
devenv.exe                   29876 Console                    6   2,00,908 K
PerfWatson2.exe              43580 Console                    6     39,736 K
Microsoft.ServiceHub.Cont    24612 Console                    6     45,832 K
conhost.exe                  37152 Console                    6      4,808 K
ServiceHub.ThreadedWaitDi     3920 Console                    6     45,720 K
conhost.exe                  42516 Console                    6      4,840 K
ServiceHub.IdentityHost.e    30340 Console                    6     39,572 K
conhost.exe                  18328 Console                    6      4,828 K
ServiceHub.VSDetouredHost    36940 Console                    6     49,088 K
conhost.exe                   6360 Console                    6      5,972 K
ServiceHub.SettingsHost.e    46688 Console                    6     72,644 K
conhost.exe                  12248 Console                    6      5,660 K
vcpkgsrv.exe                  1560 Console                    6     13,680 K
ServiceHub.Host.CLR.x86.e    34452 Console                    6     40,540 K
conhost.exe                  21668 Console                    6      4,828 K
ServiceHub.Host.CLR.x86.e    37296 Console                    6     42,048 K
conhost.exe                  21756 Console                    6      4,820 K
vcpkgsrv.exe                 12336 Console                    6     87,772 K
ServiceHub.TestWindowStor    15736 Console                    6     38,264 K
conhost.exe                  30068 Console                    6      4,824 K
explorer.exe                 33520 Console                    6     56,840 K
CServiceExe.exe              24232 Console                    6      4,116 K
WmiPrvSE.exe                 18412 Services                   0     10,068 K
cmd.exe                      45004 Console                    6      4,308 K
tasklist.exe                 24176 Console                    6      7,664 K
